Detector Type,Descriptor Type,TTC Lidar, TTC Camera,diff
HARRIS,SIFT,9.30215,11.9797,2.67755
HARRIS,SIFT,8.3212,8.22875,0.09245
HARRIS,SIFT,8.89867,10.3675,1.46883
HARRIS,SIFT,11.0301,11.4262,0.396100000000001
HARRIS,SIFT,8.53557,12.0094,3.47383
FAST,BRISK,12.2891,13.8117,1.5226
FAST,BRISK,13.3547,12.5153,0.8394
FAST,BRISK,16.3845,12.7426,3.6419
FAST,BRISK,14.0764,12.6562,1.4202
FAST,BRISK,12.7299,11.1729,1.557
FAST,BRISK,13.7511,12.1418,1.6093
FAST,BRISK,13.7314,11.7063,2.0251
FAST,BRISK,13.7901,11.9826,1.8075
FAST,BRISK,12.059,11.8009,0.258099999999999
FAST,BRISK,11.8642,10.645,1.2192
FAST,BRISK,11.9682,12.3578,0.3896
FAST,BRISK,9.88711,12.4648,2.57769
FAST,BRISK,9.42504,12.8125,3.38746
FAST,BRISK,9.30215,12.1033,2.80115
FAST,BRISK,8.3212,13.0837,4.7625
FAST,BRISK,8.89867,12.1046,3.20593
FAST,BRISK,11.0301,7.31972,3.71038
FAST,BRISK,8.53557,12.8987,4.36313
FAST,BRIEF,12.2891,10.0637,2.2254
FAST,BRIEF,13.3547,11.941,1.4137
FAST,BRIEF,16.3845,11.7727,4.6118
FAST,BRIEF,14.0764,12.6321,1.4443
FAST,BRIEF,12.7299,17.2315,4.5016
FAST,BRIEF,13.7511,11.5712,2.1799
FAST,BRIEF,13.7314,10.9736,2.7578
FAST,BRIEF,13.7901,12.3643,1.4258
FAST,BRIEF,12.059,12.4972,0.4382
FAST,BRIEF,11.8642,12.5168,0.6526
FAST,BRIEF,11.9682,13.5011,1.5329
FAST,BRIEF,9.88711,12.1704,2.28329
FAST,BRIEF,9.42504,13.0273,3.60226
FAST,BRIEF,9.30215,11.488,2.18585
FAST,BRIEF,8.3212,12.2084,3.8872
FAST,BRIEF,8.89867,11.5256,2.62693
FAST,BRIEF,11.0301,10.4317,0.5984
FAST,BRIEF,8.53557,10.1238,1.58823
FAST,ORB,12.2891,11.2876,1.0015
FAST,ORB,13.3547,12.6791,0.675599999999999
FAST,ORB,16.3845,13.0991,3.2854
FAST,ORB,14.0764,12.6321,1.4443
FAST,ORB,12.7299,13.0634,0.333499999999999
FAST,ORB,13.7511,12.5964,1.1547
FAST,ORB,13.7314,11.3027,2.4287
FAST,ORB,13.7901,11.3432,2.4469
FAST,ORB,12.059,11.9637,0.0953
FAST,ORB,11.8642,12.5694,0.7052
FAST,ORB,11.9682,13.1,1.1318
FAST,ORB,9.88711,13.258,3.37089
FAST,ORB,9.42504,13.103,3.67796
FAST,ORB,9.30215,12.6702,3.36805
FAST,ORB,8.3212,12.4008,4.0796
FAST,ORB,8.89867,12.7549,3.85623
FAST,ORB,11.0301,7.73072,3.29938
FAST,ORB,8.53557,12.2287,3.69313
FAST,FREAK,12.2891,11.9301,0.359
FAST,FREAK,13.3547,11.7818,1.5729
FAST,FREAK,16.3845,16.1466,0.2379
FAST,FREAK,14.0764,13.1441,0.9323
FAST,FREAK,12.7299,11.9602,0.7697
FAST,FREAK,13.7511,12.0086,1.7425
FAST,FREAK,13.7314,11.712,2.0194
FAST,FREAK,13.7901,12.5287,1.2614
FAST,FREAK,12.059,14.534,2.475
FAST,FREAK,11.8642,14.5103,2.6461
FAST,FREAK,11.9682,13.6459,1.6777
FAST,FREAK,9.88711,12.4289,2.54179
FAST,FREAK,9.42504,13.103,3.67796
FAST,FREAK,9.30215,12.1132,2.81105
FAST,FREAK,8.3212,12.8936,4.5724
FAST,FREAK,8.89867,12.1996,3.30093
FAST,FREAK,11.0301,11.9157,0.8856
FAST,FREAK,8.53557,11.7492,3.21363
FAST,SIFT,12.2891,12.3541,0.065000000000001
FAST,SIFT,13.3547,12.7571,0.5976
FAST,SIFT,16.3845,12.8214,3.5631
FAST,SIFT,14.0764,12.6321,1.4443
FAST,SIFT,12.7299,13.0459,0.315999999999999
FAST,SIFT,13.7511,12.3176,1.4335
FAST,SIFT,13.7314,11.9033,1.8281
FAST,SIFT,13.7901,12.0675,1.7226
FAST,SIFT,12.059,13.2752,1.2162
FAST,SIFT,11.8642,13.2683,1.4041
FAST,SIFT,11.9682,12.9509,0.982700000000001
FAST,SIFT,9.88711,12.273,2.38589
FAST,SIFT,9.42504,13.403,3.97796
FAST,SIFT,9.30215,11.9191,2.61695
FAST,SIFT,8.3212,11.3421,3.0209
FAST,SIFT,8.89867,10.7037,1.80503
FAST,SIFT,11.0301,10.3629,0.667199999999999
FAST,SIFT,8.53557,12.0044,3.46883
BRISK,BRISK,12.2891,14.3346,2.0455
BRISK,BRISK,13.3547,22.9422,9.5875
BRISK,BRISK,16.3845,13.6421,2.7424
BRISK,BRISK,14.0764,13.8129,0.263499999999999
BRISK,BRISK,12.7299,26.4305,13.7006
BRISK,BRISK,13.7511,16.931,3.1799
BRISK,BRISK,13.7314,14.7751,1.0437
BRISK,BRISK,13.7901,13.1829,0.607200000000001
BRISK,BRISK,12.059,13.9642,1.9052
BRISK,BRISK,11.8642,10.8782,0.986000000000001
BRISK,BRISK,11.9682,13.0458,1.0776
BRISK,BRISK,9.88711,12.239,2.35189
BRISK,BRISK,9.42504,10.8728,1.44776
BRISK,BRISK,9.30215,14.3028,5.00065
BRISK,BRISK,8.3212,11.4379,3.1167
BRISK,BRISK,8.89867,11.4475,2.54883
BRISK,BRISK,11.0301,10.0049,1.0252
BRISK,BRISK,8.53557,13.761,5.22543
BRISK,BRIEF,12.2891,10.9213,1.3678
BRISK,BRIEF,13.3547,15.3406,1.9859
BRISK,BRIEF,16.3845,10.8525,5.532
BRISK,BRIEF,14.0764,22.7733,8.6969
BRISK,BRIEF,12.7299,15.0432,2.3133
BRISK,BRIEF,13.7511,15.2067,1.4556
BRISK,BRIEF,13.7314,13.7324,0.000999999999999
BRISK,BRIEF,13.7901,18.1081,4.318
BRISK,BRIEF,12.059,14.8539,2.7949
BRISK,BRIEF,11.8642,9.86778,1.99642
BRISK,BRIEF,11.9682,13.7368,1.7686
BRISK,BRIEF,9.88711,12.1969,2.30979
BRISK,BRIEF,9.42504,11.8439,2.41886
BRISK,BRIEF,9.30215,10.991,1.68885
BRISK,BRIEF,8.3212,10.304,1.9828
BRISK,BRIEF,8.89867,12.0195,3.12083
BRISK,BRIEF,11.0301,10.7936,0.236499999999999
BRISK,BRIEF,8.53557,9.03165,0.496080000000001
BRISK,ORB,12.2891,11.326,0.963099999999999
BRISK,ORB,13.3547,19.5613,6.2066
BRISK,ORB,16.3845,12.703,3.6815
BRISK,ORB,14.0764,13.4645,0.6119
BRISK,ORB,12.7299,17.7069,4.977
BRISK,ORB,13.7511,22.5228,8.7717
BRISK,ORB,13.7314,14.9658,1.2344
BRISK,ORB,13.7901,16.6388,2.8487
BRISK,ORB,12.059,14.3519,2.2929
BRISK,ORB,11.8642,10.5413,1.3229
BRISK,ORB,11.9682,14.0111,2.0429
BRISK,ORB,9.88711,12.3942,2.50709
BRISK,ORB,9.42504,11.1347,1.70966
BRISK,ORB,9.30215,14.9662,5.66405
BRISK,ORB,8.3212,10.1425,1.8213
BRISK,ORB,8.89867,11.9173,3.01863
BRISK,ORB,11.0301,9.65029,1.37981
BRISK,ORB,8.53557,15.7463,7.21073
BRISK,FREAK,12.2891,11.4638,0.825299999999999
BRISK,FREAK,13.3547,21.7152,8.3605
BRISK,FREAK,16.3845,10.6889,5.6956
BRISK,FREAK,14.0764,14.5804,0.504000000000001
BRISK,FREAK,12.7299,17.321,4.5911
BRISK,FREAK,13.7511,12.7322,1.0189
BRISK,FREAK,13.7314,10.919,2.8124
BRISK,FREAK,13.7901,13.7901,0
BRISK,FREAK,12.059,16.9709,4.9119
BRISK,FREAK,11.8642,11.9582,0.094
BRISK,FREAK,11.9682,14.6574,2.6892
BRISK,FREAK,9.88711,11.2184,1.33129
BRISK,FREAK,9.42504,13.2237,3.79866
BRISK,FREAK,9.30215,10.114,0.811850000000002
BRISK,FREAK,8.3212,14.1957,5.8745
BRISK,FREAK,8.89867,10.8041,1.90543
BRISK,FREAK,11.0301,9.94683,1.08327
BRISK,FREAK,8.53557,12.3167,3.78113
BRISK,SIFT,12.2891,13.8679,1.5788
BRISK,SIFT,13.3547,17.9953,4.6406
BRISK,SIFT,16.3845,14.5313,1.8532
BRISK,SIFT,14.0764,15.0851,1.0087
BRISK,SIFT,12.7299,33.5722,20.8423
BRISK,SIFT,13.7511,19.6336,5.8825
BRISK,SIFT,13.7314,15.2348,1.5034
BRISK,SIFT,13.7901,14.6625,0.872399999999999
BRISK,SIFT,12.059,13.647,1.588
BRISK,SIFT,11.8642,11.6097,0.2545
BRISK,SIFT,11.9682,12.7305,0.7623
BRISK,SIFT,9.88711,11.024,1.13689
BRISK,SIFT,9.42504,11.1774,1.75236
BRISK,SIFT,9.30215,10.22,0.917850000000001
BRISK,SIFT,8.3212,10.1581,1.8369
BRISK,SIFT,8.89867,14.9417,6.04303
BRISK,SIFT,11.0301,11.1233,0.093200000000001
BRISK,SIFT,8.53557,14.0302,5.49463
ORB,BRISK,12.2891,11.0758,1.2133
ORB,BRISK,13.3547,11.1036,2.2511
ORB,BRISK,16.3845,31.5313,15.1468
ORB,BRISK,14.0764,11.2833,2.7931
ORB,BRISK,12.7299,79.3232,66.5933
ORB,BRISK,13.7511,7.13793,6.61317
ORB,BRISK,13.7314,8.92814,4.80326
ORB,BRISK,13.7901,10.4367,3.3534
ORB,BRISK,12.059,14.8221,2.7631
ORB,BRISK,11.8642,10.8822,0.981999999999999
ORB,BRISK,11.9682,7.52121,4.44699
ORB,BRISK,9.88711,-inf,#VALUE!
ORB,BRISK,9.42504,21.4216,11.99656
ORB,BRISK,9.30215,11.3527,2.05055
ORB,BRISK,8.3212,31.0397,22.7185
ORB,BRISK,8.89867,36.1547,27.25603
ORB,BRISK,11.0301,18.7061,7.676
ORB,BRISK,8.53557,50.0669,41.53133
ORB,BRIEF,12.2891,16.5073,4.2182
ORB,BRIEF,13.3547,9.7741,3.5806
ORB,BRIEF,16.3845,9.75076,6.63374
ORB,BRIEF,14.0764,11.1446,2.9318
ORB,BRIEF,12.7299,49.9115,37.1816
ORB,BRIEF,13.7511,nan,#VALUE!
ORB,BRIEF,13.7314,nan,#VALUE!
ORB,BRIEF,13.7901,-inf,#VALUE!
ORB,BRIEF,12.059,66.1635,54.1045
ORB,BRIEF,11.8642,63.5468,51.6826
ORB,BRIEF,11.9682,15.0858,3.1176
ORB,BRIEF,9.88711,24.4668,14.57969
ORB,BRIEF,9.42504,15.5928,6.16776
ORB,BRIEF,9.30215,9.99925,0.697100000000001
ORB,BRIEF,8.3212,13.0251,4.7039
ORB,BRIEF,8.89867,10.0494,1.15073
ORB,BRIEF,11.0301,11.5794,0.549300000000001
ORB,BRIEF,8.53557,12.7433,4.20773
ORB,ORB,12.2891,-inf,#VALUE!
ORB,ORB,13.3547,9.54203,3.81267
ORB,ORB,16.3845,12.0957,4.2888
ORB,ORB,14.0764,-inf,#VALUE!
ORB,ORB,12.7299,30.1357,17.4058
ORB,ORB,13.7511,-inf,#VALUE!
ORB,ORB,13.7314,-inf,#VALUE!
ORB,ORB,13.7901,18.3743,4.5842
ORB,ORB,12.059,-inf,#VALUE!
ORB,ORB,11.8642,11.4759,0.388300000000001
ORB,ORB,11.9682,9.34128,2.62692
ORB,ORB,9.88711,-inf,#VALUE!
ORB,ORB,9.42504,-inf,#VALUE!
ORB,ORB,9.30215,-inf,#VALUE!
ORB,ORB,8.3212,-inf,#VALUE!
ORB,ORB,8.89867,26.3083,17.40963
ORB,ORB,11.0301,21.8692,10.8391
ORB,ORB,8.53557,24.8628,16.32723
ORB,FREAK,12.2891,12.1791,0.109999999999999
ORB,FREAK,13.3547,10.721,2.6337
ORB,FREAK,16.3845,11.5586,4.8259
ORB,FREAK,14.0764,10.8492,3.2272
ORB,FREAK,12.7299,16.2288,3.4989
ORB,FREAK,13.7511,-inf,#VALUE!
ORB,FREAK,13.7314,nan,#VALUE!
ORB,FREAK,13.7901,nan,#VALUE!
ORB,FREAK,12.059,18.3901,6.3311
ORB,FREAK,11.8642,10.8775,0.986700000000001
ORB,FREAK,11.9682,10.8181,1.1501
ORB,FREAK,9.88711,8.31342,1.57369
ORB,FREAK,9.42504,8.59036,0.834679999999999
ORB,FREAK,9.30215,10.8542,1.55205
ORB,FREAK,8.3212,nan,#VALUE!
ORB,FREAK,8.89867,10.4558,1.55713
ORB,FREAK,11.0301,6.42412,4.60598
ORB,FREAK,8.53557,5.48789,3.04768
ORB,SIFT,12.2891,9.83629,2.45281
ORB,SIFT,13.3547,20.4081,7.0534
ORB,SIFT,16.3845,12.0957,4.2888
ORB,SIFT,14.0764,16.1492,2.0728
ORB,SIFT,12.7299,-inf,#VALUE!
ORB,SIFT,13.7511,-inf,#VALUE!
ORB,SIFT,13.7314,-inf,#VALUE!
ORB,SIFT,13.7901,10.9911,2.799
ORB,SIFT,12.059,-inf,#VALUE!
ORB,SIFT,11.8642,11.1389,0.725300000000001
ORB,SIFT,11.9682,7.74874,4.21946
ORB,SIFT,9.88711,-inf,#VALUE!
ORB,SIFT,9.42504,11.5966,2.17156
ORB,SIFT,9.30215,-inf,#VALUE!
ORB,SIFT,8.3212,-inf,#VALUE!
ORB,SIFT,8.89867,16.8626,7.96393
ORB,SIFT,11.0301,19.2026,8.1725
ORB,SIFT,8.53557,19.8537,11.31813
AKAZE,BRISK,12.2891,11.6795,0.609599999999999
AKAZE,BRISK,13.3547,12.8195,0.5352
AKAZE,BRISK,16.3845,13.1886,3.1959
AKAZE,BRISK,14.0764,13.5135,0.562899999999999
AKAZE,BRISK,12.7299,13.6688,0.9389
AKAZE,BRISK,13.7511,12.9361,0.815
AKAZE,BRISK,13.7314,16.3005,2.5691
AKAZE,BRISK,13.7901,12.5576,1.2325
AKAZE,BRISK,12.059,13.4421,1.3831
AKAZE,BRISK,11.8642,11.7135,0.150700000000001
AKAZE,BRISK,11.9682,12.8309,0.8627
AKAZE,BRISK,9.88711,10.301,0.41389
AKAZE,BRISK,9.42504,10.2095,0.784460000000001
AKAZE,BRISK,9.30215,9.1727,0.129449999999999
AKAZE,BRISK,8.3212,9.61004,1.28884
AKAZE,BRISK,8.89867,9.45318,0.554510000000001
AKAZE,BRISK,11.0301,8.38733,2.64277
AKAZE,BRISK,8.53557,8.67077,0.135200000000001
AKAZE,BRIEF,12.2891,12.2744,0.0147
AKAZE,BRIEF,13.3547,12.8623,0.4924
AKAZE,BRIEF,16.3845,12.6871,3.6974
AKAZE,BRIEF,14.0764,12.9322,1.1442
AKAZE,BRIEF,12.7299,14.0342,1.3043
AKAZE,BRIEF,13.7511,12.2125,1.5386
AKAZE,BRIEF,13.7314,15.5446,1.8132
AKAZE,BRIEF,13.7901,13.485,0.305100000000001
AKAZE,BRIEF,12.059,11.7805,0.278499999999999
AKAZE,BRIEF,11.8642,11.3197,0.544500000000001
AKAZE,BRIEF,11.9682,12.1211,0.152900000000001
AKAZE,BRIEF,9.88711,10.6918,0.804690000000001
AKAZE,BRIEF,9.42504,11.5785,2.15346
AKAZE,BRIEF,9.30215,10.5035,1.20135
AKAZE,BRIEF,8.3212,9.38489,1.06369
AKAZE,BRIEF,8.89867,10.1629,1.26423
AKAZE,BRIEF,11.0301,9.13136,1.89874
AKAZE,BRIEF,8.53557,8.61124,0.075670000000001
AKAZE,ORB,12.2891,10.304,1.9851
AKAZE,ORB,13.3547,12.3227,1.032
AKAZE,ORB,16.3845,12.8375,3.547
AKAZE,ORB,14.0764,14.0895,0.0131
AKAZE,ORB,12.7299,12.9925,0.262599999999999
AKAZE,ORB,13.7511,12.8035,0.9476
AKAZE,ORB,13.7314,15.353,1.6216
AKAZE,ORB,13.7901,13.2898,0.500300000000001
AKAZE,ORB,12.059,10.7274,1.3316
AKAZE,ORB,11.8642,10.799,1.0652
AKAZE,ORB,11.9682,12.6451,0.6769
AKAZE,ORB,9.88711,10.4699,0.582790000000001
AKAZE,ORB,9.42504,12.2059,2.78086
AKAZE,ORB,9.30215,10.4876,1.18545
AKAZE,ORB,8.3212,9.62973,1.30853
AKAZE,ORB,8.89867,10.2783,1.37963
AKAZE,ORB,11.0301,9.81587,1.21423
AKAZE,ORB,8.53557,9.68886,1.15329
AKAZE,FREAK,12.2891,11.4796,0.8095
AKAZE,FREAK,13.3547,12.1967,1.158
AKAZE,FREAK,16.3845,12.7997,3.5848
AKAZE,FREAK,14.0764,13.3031,0.773299999999999
AKAZE,FREAK,12.7299,14.2426,1.5127
AKAZE,FREAK,13.7511,13.4991,0.251999999999999
AKAZE,FREAK,13.7314,16.0305,2.2991
AKAZE,FREAK,13.7901,12.8325,0.957600000000001
AKAZE,FREAK,12.059,11.7199,0.3391
AKAZE,FREAK,11.8642,11.0019,0.862300000000001
AKAZE,FREAK,11.9682,11.9807,0.012500000000001
AKAZE,FREAK,9.88711,10.8577,0.97059
AKAZE,FREAK,9.42504,12.4116,2.98656
AKAZE,FREAK,9.30215,10.2722,0.970050000000001
AKAZE,FREAK,8.3212,9.90787,1.58667
AKAZE,FREAK,8.89867,10.1458,1.24713
AKAZE,FREAK,11.0301,9.65304,1.37706
AKAZE,FREAK,8.53557,9.00608,0.470510000000001
AKAZE,SIFT,12.2891,11.9608,0.328299999999999
AKAZE,SIFT,13.3547,12.7577,0.597
AKAZE,SIFT,16.3845,12.9282,3.4563
AKAZE,SIFT,14.0764,13.4972,0.5792
AKAZE,SIFT,12.7299,14.7645,2.0346
AKAZE,SIFT,13.7511,14.7308,0.979700000000001
AKAZE,SIFT,13.7314,15.3295,1.5981
AKAZE,SIFT,13.7901,14.4647,0.6746
AKAZE,SIFT,12.059,12.5632,0.504200000000001
AKAZE,SIFT,11.8642,11.3915,0.4727
AKAZE,SIFT,11.9682,12.6669,0.698700000000001
AKAZE,SIFT,9.88711,10.528,0.640890000000001
AKAZE,SIFT,9.42504,10.9959,1.57086
AKAZE,SIFT,9.30215,10.9669,1.66475
